,Company,Ticker_1,Ticker_2,ESG score,ESG risk
5611,"Hiyes International Co., Ltd.",TAI,2348,25.5,Medium
5612,"HJ SHIPBUILDING & CONSTRUCTION Co., Ltd.",KRX,097230,30.9,High
5613,HK Electric Investments & HK Electric Investments Ltd.,HKG,2638,24.4,Medium
5614,HK inno.N Corp.,KRX,195940,20.1,Medium
5615,HKBN Ltd.,HKG,1310,23.1,Medium
5616,HKT Trust & HKT Ltd.,HKG,6823,26.8,Medium
5617,HL Holdings Corp.,KRX,060980,23.0,Medium
5618,"HL Mando Co., Ltd.",KRX,204320,16.0,Low
5619,"HLB Co., Ltd.",KRX,028300,22.8,Medium
5620,"HLB GLOBAL Co., Ltd.",KRX,003580,44.6,Severe
5621,"HLB Life Science Co., Ltd.",KRX,067630,22.1,Medium
5622,"HLB Therapeutics Co., Ltd.",KRX,115450,26.1,Medium
5623,HMC Capital Ltd.,ASX,HMC,28.5,Medium
5624,"HMM Co., Ltd.",KRX,011200,15.5,Low
5625,HMS Networks AB,OME,HMS,6.5,Negligible
5626,HNI Corp.,NYS,HNI,5.4,Negligible
5627,Ho Bee Land Ltd.,SES,H13,15.5,Low
5628,Ho Tung Chemical Corp.,TAI,1714,24.5,Medium
5629,Hoa Phat Group JSC,STC,HPG,49.9,Severe
5630,"Hoag Memorial Hospital Presbyterian, Inc.",-,,32.4,High
5631,Hochiki Corp.,TKS,6745,15.9,Low
5632,Hochschild Mining Plc,LON,HOC,28.4,Medium
5633,Hochtief AG,ETR,HOT,27.3,Medium
5634,"Hodogaya Chemical Co., Ltd.",TKS,4112,34.3,High
5635,Höegh Autoliners ASA,OSL,HAUTO,23.4,Medium
5636,"Hogy Medical Co., Ltd.",TKS,3593,19.3,Low
5637,Hoist Finance AB,OME,HOFI,29.5,Medium
5638,"Hokkaido Electric Power Co., Inc.",TKS,9509,47.6,Severe
5639,"Hokkaido Gas Co., Ltd.",TKS,9534,42.5,Severe
5640,Hokkan Holdings Ltd.,TKS,5902,23.0,Medium
5641,"Hokkoku Financial Holdings, Inc.",TKS,7381,29.6,Medium
5642,Hokuetsu Corp.,TKS,3865,31.0,High
5643,"Hokuhoku Financial Group, Inc.",TKS,8377,34.3,High
5644,Hokuriku Electric Power Co.,TKS,9505,44.5,Severe
5645,Hokuto Corp.,TKS,1379,48.0,Severe
5646,Holcim Ltd.,SWX,HOLN,25.2,Medium
5647,Holding d'Infrastructures de Transport SASU,-,,9.8,Negligible
5648,Holding d'Infrastructures des Métiers de l'Environnement SAS,-,,40.8,Severe
5649,"Holley, Inc.",NYS,HLLY,26.0,Medium
5650,HollySys Automation Technologies Ltd.,-,,15.1,Low
5651,Hollywood Bowl Group Plc,LON,BOWL,25.3,Medium
5652,Holmen AB,OME,HOLM.B,19.5,Low
5653,"Hologic, Inc.",NAS,HOLX,21.8,Medium
5654,"Holtek Semiconductor, Inc.",TAI,6202,28.4,Medium
5655,"Holy Stone Enterprise Co., Ltd.",TAI,3026,26.4,Medium
5656,"Home Bancorp, Inc.",NAS,HBCP,32.4,High
5657,"Home Bancshares, Inc. (Arkansas)",NYS,HOMB,27.3,Medium
5658,Home First Finance Company India Ltd.,BOM,543259,16.2,Low
5659,Home Group Ltd.,-,,11.5,Low
